десяткове число: 7      	двiйковий запис числа: 111
десяткове число: 15      	двiйковий запис числа: 1111
десяткове число: 8      	двiйковий запис числа: 1000
десяткове число: 129      	двiйковий запис числа: 10000001
десяткове число: 255      	двiйковий запис числа: 11111111
десяткове число: 1024      	двiйковий запис числа: 10000000000
десяткове число: 16      	двiйковий запис числа: 10000
десяткове число: 28      	двiйковий запис числа: 11100
десяткове число: 37      	двiйковий запис числа: 100101
десяткове число: 131      	двiйковий запис числа: 10000011
десяткове число: 196      	двiйковий запис числа: 11000100
десяткове число: 9999      	двiйковий запис числа: 10011100001111
десяткове число: 11      	двiйковий запис числа: 1011
десяткове число: 105      	двiйковий запис числа: 1101001
